fill_blank_input,masked_word,options
"When the young people returned to the ballroom, it presented a decidedly changed appearance. Instead of an interior scene, it was a winter landscape.
 The floor was covered with snow-white canvas, not laid on smoothly, but rumpled over bumps and hillocks, like a real snow field. -> Instead of an [MASK] scene, it was a winter landscape.
",interior,"['completed', 'north', 'interior', 'contrary']"
"And, as you say, it would also keep Dotty at home, and so, altogether, I think I shall have to give in. ""
""Oh, you angel mother! You blessed lady! -> ""
""Oh, you [MASK] mother!",angel,"['angel', 'low', 'parlor', 'farming']"
"""
""Well, I like that!"" cried Patty; ""suppose you bear half the blame, Roger. You see, Mr. Blaney, he is so absorbed in his own Love Game, he can't play with his old-time skill. -> cried Patty; ""suppose you bear half the [MASK], Roger.",blame,"['isolation', 'objection', 'proceeds', 'blame']"
"And so he rode away, not giving Tom time to ask what the sweep had gone to prison for, which was a matter of interest to Tom, as he had been in prison once or twice himself. Moreover, the groom looked so very neat and clean, with his drab gaiters, drab breeches, drab jacket, snow-white tie with a smart pin in it, and clean round ruddy face, that Tom was offended and disgusted at his appearance, and considered him a stuck-up fellow, who gave himself airs because he wore smart clothes, and other people paid for them; and went behind the wall to fetch the half-brick after all; but did not, remembering that he had come in the way of business, and was, as it were, under a flag of truce. -> Moreover, the groom looked so very neat and clean, with his drab gaiters, drab breeches, drab [MASK], snow-white tie with a smart pin in it, and clean round ruddy face, that Tom was offended and disgusted at his appearance, and considered him a stuck-up fellow, who gave himself airs because he wore smart clothes, and other people paid for them; and went behind the wall to fetch the half-brick after all; but did not, remembering that he had come in the way of business, and was, as it were, under a flag of truce.",jacket,"['cooperative', 'palace', 'jacket', 'core']"
"And outside before the palace a great garden was walled round, filled full of stately fruit-trees, gray olives and sweet figs, and pomegranates, pears, and apples, which bore the whole year round. For the rich south-west wind fed them, till pear grew ripe on pear, fig on fig, and grape on grape, all the winter and the spring. And at the farther end gay flower-beds bloomed through all seasons of the year; and two fair fountains rose, and ran, one through the garden grounds, and one beneath the palace gate, to water all the town. -> For the rich south-west [MASK] fed them, till pear grew ripe on pear, fig on fig, and grape on grape, all the winter and the spring.",wind,"['guidance', 'diameter', 'permission', 'wind']"
"Once upon a time there were Three Bears who lived together in a house of their own in a wood. One of them was a Little, Small, Wee Bear; and one was a Middle-sized Bear, and the other was a Great, Huge Bear. -> Once upon a [MASK] there were Three Bears who lived together in a house of their own in a wood.",time,"['cancer', 'yes', 'time', 'public']"
"An orderly approached.
 ""My respects to General Tromp, and tell him I desire his presence immediately,"" ordered General Joffre. -> ""My [MASK] to General Tromp, and tell him I desire his presence immediately,"" ordered General Joffre.",respects,"['opposition', 'lie', 'respects', 'tore']"
"Both in fighting and in scouting they had proven their worth. Following the first Belgian campaign, the two lads had seen service with the British troops on the continent, where they were attached to the staff of General Sir John French, in command of the English forces. Also they had won the respect and admiration of General Joffre, the French commander-in-chief. -> Following the first Belgian campaign, the two lads had [MASK] service with the British troops on the continent, where they were attached to the staff of General Sir John French, in command of the English forces.",seen,"['grain', 'seem', 'load', 'seen']"
"For months the opposing forces had battled to a draw from the North Sea to the boundary of Switzerland, until now, as the day waned—it was almost six o'clock—the hands of time drew closer and closer to the hour that was to mark the opening of the most bitter and destructive battle of the war, up to this time.
 It was the eve of the battle of Verdun.
 The occupants of the automobile as it sped northward numbered three. -> It was the eve of the [MASK] of Verdun.
",battle,"['hazard', 'exercise', 'battle', 'lack']"
"""Ripping,"" shouted Phil, while Dick didn't wait to make any remark, but dived in through the door, and in a trice was putting in his call. Phil followed suit, while Garry waited, as he would talk when Dick had finished.
 This pleasant duty done, they went to a restaurant for dinner. -> Phil [MASK] suit, while Garry waited, as he would talk when Dick had finished.
",followed,"['corn', 'followed', 'play', 'mother']"
"He traveled through an open wood, which enabled him to see a great distance. At length he beheld a light breaking through the foliage of the distant trees, which made him sure that he was on the borders of a prairie. It was a wide plain, covered with long blue grass, and enameled with flowers of a thousand lovely tints.
 -> At length he beheld a light breaking through the foliage of the distant trees, which [MASK] him sure that he was on the borders of a prairie.",made,"['made', 'survive', 'establish', 'cluster']"
"It was believed by the principal men of Virginia that Talbot's sympathies were with the revolted colonies; but the influence of his mother, to whom he had been accustomed to defer, had hitherto proved sufficient to prevent him from openly declaring himself. His visit to England, and the delightful reception he had met with there, had weakened somewhat the ties which bound him to his native country, and he found himself in a state of indecision as humiliating as it was painful. Lord Dunmore and Colonel Wilton had each made great efforts to enlist his support, on account of his wealth and position and high personal qualities. -> His visit to England, and the delightful reception he had met with there, had weakened somewhat the ties which bound him to his native country, and he found himself in a state of indecision as [MASK] as it was painful.",humiliating,"['binomial', 'humiliating', 'surplus', 'steady']"
